economy,time,BX.KLT.DINV.CD.WD,FP.CPI.TOTL.ZG,FR.INR.RINR,NE.CON.GOVT.CD,NE.CON.TOTL.CD,NE.EXP.GNFS.CD,NY.GDP.MKTP.CD,SL.UEM.TOTL.ZS,AG.LND.AGRI.ZS,NE.GDI.TOTL.CD,NE.IMP.GNFS.CD,SL.TLF.CACT.ZS
ABW,YR2021,133545121.178455,,,675350387.350737,2485214820.66072,2154231632.83799,3126019399.06492,,,620125160.307179,2133552214.74096,
AFE,YR2000,4315007316.09404,8.6014851485149,,43270523599.4843,236026893375.379,73792410823.2,283937941817.293,6.93953642644108,44.6136937089523,50948228982.6895,73447258589.6367,71.5517594854453
AFE,YR2001,12205013826.7178,5.84035398311558,,40046773332.6324,214261974991.234,70264192532.8276,258829983740.485,6.85037572406791,44.7543128210052,45537692124.4319,69940605230.9,71.5554089052889
AFE,YR2002,6464121932.6931,8.76375366426173,,40283656907.0321,214224015492.948,75154430777.7747,264881490155.465,6.80353661652446,44.8921319681125,47694201578.0126,74819201160.7908,71.6111537678851
AFE,YR2003,8555149192.20714,7.44970014007364,,56495939298.4525,286370392256.44,92087515219.047,352674051427.535,6.7412409260797,45.2187016933131,65816334158.4378,94274852487.294,71.6685331354796
AFE,YR2004,7979691821.36791,5.02342068616284,,69977444896.8633,356310162201.68,114916094080.86,438853140522.126,6.53517317460762,44.9733948090704,87636274584.6189,120210367826.984,71.7175176234785
AFE,YR2005,10333884246.5645,8.55803802239772,,78037965433.4895,407368891523.95,143491054203.72,512233712292.51,6.3735025653771,45.1500723796951,101875900921.215,145901335884.364,71.7819065311426
AFE,YR2006,7234542919.62867,8.89816380214033,,84658361798.4491,445363873993.074,172242795308.662,575722407956.308,6.34759816055424,45.3477528046689,119999987885.343,171016294570.976,71.6592879714994
AFE,YR2007,16122284835.672,8.45077480634995,,97378419814.1618,505964662919.783,213344498902.059,660827012895.537,6.28342089359081,45.51169826966,144780364960.798,211310383644.689,71.4704829063588
AFE,YR2008,22483230616.7784,12.5666446595157,,106124336245.432,530544041641.612,253808647746.98,708119166019.631,6.23256052983032,45.6764834033863,170970361967.958,257671369078.657,71.2882924247069
AFE,YR2009,18484265031.8363,8.95421802392944,,111624532194.173,563015500763.607,200948701950.178,719095270493.797,6.29558701104752,45.9434858121173,170800725662.409,230365191730.478,70.9094273998855
AFE,YR2010,13934880641.4841,5.53753791645677,,134841131499.424,672308117564.533,254585025564.578,860361207235.72,6.93364462972581,46.1569432925705,187981920854.05,263535922001.023,70.2403438240055
AFE,YR2011,17538712523.6727,8.97120640995792,,156375529123.355,753291248431.901,300803246527.13,964213016259.692,6.71535805738561,46.3615149051251,215058485269.287,306579610323.672,70.3331603097349
AFE,YR2012,24636342686.2413,9.15870715471667,,160780788772.034,779322375321.199,288474706703.804,972002199045.518,6.59935567323687,43.3887944926728,222742023058.947,320386440420.935,70.151865813808
AFE,YR2013,21534249243.819,5.75098133352462,,166730719021.066,792959001156.309,284833265586.272,982677082467.187,6.5127841025363,43.5242711759712,234255588624.093,330717788246.286,70.1535849379413
AFE,YR2014,27681419157.2265,5.37028961008588,,166210842171.347,791840879168.573,276779549497.986,1003403000510.52,6.55564528416233,43.6741754664362,250827808219.059,317495840114.153,70.0534878160346
AFE,YR2015,28774229517.0523,5.25017086354882,,151464804774.797,745246457353.965,212172697051.562,923143900034.922,6.70714160237614,43.7724957911893,234643894707.638,270546949426.494,70.2004921545408
AFE,YR2016,16660273342.0085,6.57139642173959,,146657659204.056,716134398454.821,191726142282.929,889859250365.411,6.8555894235371,43.901451693597,210142947737.529,232018925720.078,70.2119103337176
AFE,YR2017,10108286477.1266,6.39934341569383,,165208116040.648,808445770123.435,222327634305.237,1030482257898.25,6.94036503514997,44.0450876779235,250644561188.886,253732237361.46,70.2589190061438
AFE,YR2018,13588979646.0997,4.720811388773,,155690949584.723,818464888935.527,255754631506.933,1016696893390.38,6.91304643638878,44.1683449263852,220194896634.659,285106130964.316,70.0084484935398
AFE,YR2019,14996445733.3457,4.12024587014984,,153801173297.703,807725462464.881,238625885020.489,1009051505055.59,7.12166374671851,44.1948457110325,225430417951.169,264813718187.304,70.0101480894164
AFE,YR2020,12890634682.8816,6.36296055300016,,145852811472.552,750228530854.82,204917137446.914,934179085451.04,7.63130341847771,44.2487211349222,194572235820.403,217778932085.643,69.0062500338524
AFE,YR2021,52974609489.7214,6.07932754164423,,163526018013.713,867697511504.116,280013400791.17,1089454323810.36,7.9202187313171,,216650037883.971,278155979392.429,69.5377985415898
AFG,YR2000,170000.0,,,,,,,8.05399990081787,57.882955399169,,,46.757999420166
AFG,YR2001,680000.0,,,,,,,8.03999996185303,57.882955399169,,,46.7910003662109
AFG,YR2002,50000000.0,,,,,,3854235264.37171,8.18599987030029,57.882955399169,,,46.8440017700195
AFG,YR2003,57799999.9,,,,,,4539500884.0479,8.12199974060059,58.123668031216,,,46.9080009460449
AFG,YR2004,186900000.0,,,,,,5220823684.66085,8.05300045013428,58.125201232694,,,46.9790000915527
AFG,YR2005,271000000.0,12.6862687216715,,,,,6226199249.32211,8.11299991607666,58.123668031216,,,47.056999206543
AFG,YR2006,238000000.0,6.78459655001657,10.0468971069496,,,,6971379033.26327,8.05399990081787,58.123668031216,,,47.0060005187988
AFG,YR2007,188690000.0,8.68057078513406,-3.58511110954092,,,,9715761649.79443,8.10799980163574,58.123668031216,,,46.9630012512207
AFG,YR2008,46033740.0,26.4186641547444,12.5579601455576,,,,10249767311.213,8.02200031280518,58.123668031216,,,46.9290008544922
AFG,YR2009,56107246.5,-6.81116108898995,17.5429289290522,,,,12154835707.8987,8.08199977874756,58.123668031216,,,46.9000015258789
AFG,YR2010,190774431.98,2.1785375238942,11.3640937400601,,,,15633856787.0425,8.06799983978271,58.125201232694,,,46.8740005493164
AFG,YR2011,52173421.0,11.8041858089129,-1.24150600219686,,,,18190410820.6235,7.94700002670288,58.123668031216,,,46.9080009460449
AFG,YR2012,56823660.0,6.44121280934118,7.17438724378046,,,,20203572959.5023,8.01900005340576,58.123668031216,,,46.9599990844727
AFG,YR2013,48311346.0,7.38577178397857,9.78449593802674,,,,20564485419.1684,7.94899988174438,58.123668031216,,,47.0299987792969
AFG,YR2014,42975262.5,4.67399603536339,14.3516893399556,,,,20550582746.8448,7.90999984741211,58.123668031216,,,47.0999984741211
AFG,YR2015,169146608.0,-0.661709164713696,12.2525481623247,,,,19998156214.3988,8.98900032043457,58.123668031216,,,47.1699981689453
AFG,YR2016,93591315.3,4.38389195513914,17.5839381607368,,,,18019558181.9602,10.0860004425049,58.123668031216,,,47.2400016784668
AFG,YR2017,51533896.765,4.9759515055383,12.1411782947912,,,,18896352021.94,11.1800003051758,58.123668031216,,,47.310001373291
AFG,YR2018,119435105.715177,0.626149149168811,,,,,18418848299.5825,11.1099996566772,58.2769881790166,,,47.3940010070801
AFG,YR2019,23404553.647249,2.30237251516844,,,,,18904490262.913,11.085000038147,58.2769881790166,,,47.4869995117188
AFG,YR2020,12970147.9832,,,,,,20143442150.971,11.710000038147,58.8074758904068,,,41.5800018310547
AFW,YR2000,2560094804.89139,2.53077516737993,,8321178384.83253,87487330350.3363,50875510322.1878,140410259302.465,4.66642263665412,37.0298503832726,37940079485.5534,33320603985.5693,65.2650992721736
AFW,YR2001,3224338688.16353,4.36152914007253,,8980265754.8011,106494871359.039,45216504155.5209,146779813046.927,4.58178056550067,37.3573575744712,38065549100.3969,41573870522.7895,65.2133611362727
AFW,YR2002,4408519415.31893,3.18869330220589,,9702042086.53682,131047580732.112,49514088328.9489,176605835909.847,4.44873299359231,37.4479631386127,42537014676.0017,44849724859.2271,65.1552760572518
AFW,YR2003,5262166817.82817,1.76090410099629,,11315910534.9692,151039062453.157,60085720571.5682,204470860701.304,4.40596904675248,37.7176610529993,51943216530.5622,57878442615.5569,65.0721561256893
AFW,YR2004,4653748699.63047,0.694336305945748,,18865051315.5051,182137776171.075,66800561301.3672,253471913925.27,4.3525620416528,37.6543274322391,61638789769.6555,55884876745.0529,65.0128427077406
AFW,YR2005,9278129441.98704,5.63163351357613,,21731303430.2396,217998149718.04,84009848964.8394,310094246800.233,4.3214962368522,38.3382328555415,74960587460.8428,67495272792.8527,64.9110521151091
AFW,YR2006,9202356526.48961,4.41589984169562,,28134815238.2394,255740012386.608,125232384011.914,395655858340.007,4.20305838032003,38.3301183535306,98674419524.2464,84517950073.9176,64.8350056669038
AFW,YR2007,13030657207.3048,3.60736767984596,,46894152420.6334,359633131458.435,123278749984.479,464425613626.874,4.14827042031336,38.4771015877017,99656296968.0448,119267360564.917,64.7318500933095
AFW,YR2008,16317443289.6163,8.45297623326756,,56505390309.2774,412403886689.365,169595418968.293,566479463919.374,4.16744297952451,38.7434963043541,118789677397.074,135547914076.7,64.5252136225889
AFW,YR2009,18159745850.629,3.2824403758932,,49901388920.4168,397703091922.994,123005733451.004,507029514633.981,4.21507268199001,38.8646995615635,113244281604.67,128346442607.706,64.3037929793058
AFW,YR2010,18874323022.7195,1.78484420477114,,58511848736.1913,458636682321.949,175910481891.027,597129288864.775,4.23577745671536,39.0392282368132,120350362104.502,154452050665.687,64.0681196083615
AFW,YR2011,24501138032.0393,4.01869907534491,,69802058431.2332,513159193801.404,232813925204.465,680455985950.414,4.18882767264463,39.1058604122585,127671524290.666,191528091249.883,63.899268629425
AFW,YR2012,20912687292.4711,4.57837463515945,,72509308679.7564,516104993615.361,250302511291.137,736039861278.13,4.16755614622719,39.2715188739943,137850896504.69,168677076335.565,62.4439601706122
AFW,YR2013,19157553412.434,2.43920076104128,,75644144842.7635,656981149013.887,196323296544.212,832216894624.603,3.8044475021588,39.4963187254167,157678791819.727,181117152450.362,60.9530655299477
AFW,YR2014,16598028196.8167,1.7580519603779,,76346305407.763,691579003187.771,207849275760.561,892497905712.366,3.98587798262434,39.5208428681661,176233820462.314,185328263065.956,60.8933756826344
AFW,YR2015,15643172769.1792,2.13026806151513,,63257285780.7844,635704436373.349,133484031243.339,766957955078.105,4.24113597618525,39.5473181969935,150131044018.744,154538222675.576,61.0250079022472
AFW,YR2016,13937041742.1202,1.49456366409864,,56990356362.9422,581787675354.259,116559773913.056,690545418736.157,4.11295791765579,39.6439579671405,136057893443.863,146934041783.005,61.3382317892348
AFW,YR2017,17662420840.067,1.76463495159564,,53301273789.1702,565311046882.921,142334721550.049,683748014299.694,4.14048380439269,39.6847701359087,126646416144.363,153269655357.404,61.3286366810881
AFW,YR2018,15492839382.6879,1.78404994832044,,63940904258.637,618868974659.346,170997679439.785,766359667820.703,4.20159855917052,39.7071850078158,161786693192.431,187913393816.093,61.6026931263281
AFW,YR2019,12452960018.1378,1.75856517595659,,65641257166.4793,636048767997.597,172550370966.01,794719102944.191,4.26141400612556,39.7248285941069,190695410278.286,207062580393.621,61.8775943806972
AFW,YR2020,10906455080.3639,2.43760882182242,,82821869651.3745,595955119902.551,124034932789.656,784799699387.377,4.91414336183036,39.7426621251716,194316537699.859,134852347657.932,61.1734468189253
